Centre Name,Total,Aggregate,
0473-NEW BHENDIPADA-17,3,0.00022127,
0236-HAROLI 03,6,0.00044254,
0344-AITWADE BU-01,5,0.00036879,
0354-NANDANI 07,6,0.00044254,
0291-GANESH NAGAR -B,1,0.00007376,
0435-PMGP COLONY-13,3,0.00022127,
0186-WALAWA 13,7,0.0005163,
0120-LIGADE MALA 01,7,0.0005163,
0196-ANKALKHOP-06,2,0.00014751,
0307-SHRIRAM NAGAR-02,1,0.00007376,
0360-BHARAT MATA 01,11,0.00081133,
0190-JAYSINGPUR 22,7,0.0005163,
0082-KUPWAD 08,2,0.00014751,
0177-RAJARAMPURI 02,1,0.00007376,
0100-RAMABAI NAGAR-5,1,0.00007376,
0408-GANESH WADI-04,5,0.00036879,
0509-MYUNCIPAL SLUM QUATERS,3,0.00022127,
0451-KHALADI-4,3,0.00022127,
0525-AMBIVALI 1,1,0.00007376,
0250-JAYSIGPUR 28,13,0.00095884,
0061-ASHTA 08,1,0.00007376,
0221-SUBHASH NAGAR-8,6,0.00044254,
0202-AMBEDKAR NAGAR 02,11,0.00081133,
0111-RAM NAGAR-06,1,0.00007376,
0190-MALWADI 04,10,0.00073757,
0086-DHARANJGUTTI 01,1,0.00007376,
0100-SHANTI CHAWL-01,1,0.00007376,
0306-RAMABAI -03,1,0.00007376,
0129-A-SECTOR-3,8,0.00059006,
0129-RUKADI-11,7,0.0005163,
0034-HUPARI 03,2,0.00014751,
0394-PARIXIT NAGAR-5,14,0.0010326,
0059-HIRNODA-A,1,0.00007376,
0487-NAVA G WOARD NAHERU NAGAR,1,0.00007376,
0078-GHANCHI NO MADH-HARIPURA,2,0.00014751,
0065-KHALKARWAD-01,4,0.00029503,
0300-NETIVALI - 32,1,0.00007376,
0047-WARNALI 06,4,0.00029503,
0005-BHADRA KACHERI,1,0.00007376,
0572-HATHNOLI-3,1,0.00007376,
0448-PATEL SOCIETY-2,7,0.0005163,
0178-UMALWAD 02,1,0.00007376,
0464-BHAGAT NA MUVADA,1,0.00007376,
0173-PATNE PLOT-01,1,0.00007376,
0163-CHETANPURA-1,3,0.00022127,
0300-KHINDI PADA-03,6,0.00044254,
0161-ASURLE-04,3,0.00022127,
0254-HANUMAN NAGAR - 24,1,0.00007376,
0243-KARVE-02,1,0.00007376,
0061-CHINCHWAD 02,1,0.00007376,
0235-RAITHAL-B,3,0.00022127,
0074-JAITPURA-C,1,0.00007376,
0194-SAHAKAR NAGAR 04,8,0.00059006,
0257-SHYAM NAGAR-A,1,0.00007376,
0093-C-SECTOR-03,1,0.00007376,
0311-SHAKTINAGAR,2,0.00014751,
0281-HANUMAN NAGAR -16,1,0.00007376,
0441-VALLI ULLAS NI CHALI,1,0.00007376,
0383-JULEWADI-04,5,0.00036879,
0272-DUDHGAON 01,2,0.00014751,
0276-SURUL-03,3,0.00022127,
0176-RAMBAG-2,1,0.00007376,
0330-DHOLA SEEM SAROL,6,0.00044254,
0025-J P COLONY-B,1,0.00007376,
0046-KASEGAON 01,3,0.00022127,
0327-KAGAL 03,5,0.00036879,
0249-KAMLAKAR NAGAR-8,1,0.00007376,
0047-JAYSINGPUR 08,11,0.00081133,
0243-DHULGAON 01,2,0.00014751,
0231-SHIVAJI NAGAR 20,5,0.00036879,
0088-SAVARKAR NAGAR-5,3,0.00022127,
0231-KARAD-F,1,0.00007376,
0235-SUBHASH NAGAR-10,7,0.0005163,
0356-BASTWAD 03,4,0.00029503,
0071-KALU -A,4,0.00029503,
0266-SN LOTUS COLONY 20,2,0.00014751,
0219-LB INDIRA NAGAR-04,1,0.00007376,
0067-SHINGANWADI-01,1,0.00007376,
0312-RAMABAI 04,1,0.00007376,
0413-DILHIVALI CHALI,1,0.00007376,
0422-CHIRAG HOTEL-01,5,0.00036879,
0312-NID CHHAPRA,5,0.00036879,
0279-KOLSEWADI-1,8,0.00059006,
0295-WATEGAON-07,5,0.00036879,
